date,price
15-07-24,10.99
16-07-24,10.99
17-07-24,10.99
18-07-24,10.99
19-07-24,10.99
20-07-24,10.99
21-07-24,10.99
22-07-24,11.49
23-07-24,11.49
24-07-24,10.49
25-07-24,10.49
26-07-24,10.99
27-07-24,10.99
28-07-24,8.79
29-07-24,8.79
30-07-24,8.79
31-07-24,8.79
01-08-24,8.79
02-08-24,8.79
03-08-24,8.79
04-08-24,8.79
05-08-24,10.99
06-08-24,10.99
07-08-24,10.99
08-08-24,10.99
09-08-24,10.99
10-08-24,10.99
11-08-24,10.99
12-08-24,4.51
13-08-24,4.51
15-08-24,4.51
16-08-24,4.51
17-08-24,4.51
18-08-24,4.51
19-08-24,10.99
20-08-24,10.99
21-08-24,10.99
22-08-24,10.99
23-08-24,10.99
24-08-24,10.99
25-08-24,10.99
26-08-24,4.51
28-08-24,4.51
29-08-24,4.51
30-08-24,4.51
01-09-24,4.51
02-09-24,4.51
