date,price
15-07-24,8.99
16-07-24,8.99
17-07-24,8.99
18-07-24,8.99
19-07-24,8.99
20-07-24,8.99
21-07-24,8.99
22-07-24,8.99
23-07-24,8.99
24-07-24,8.49
25-07-24,8.49
26-07-24,8.49
27-07-24,8.49
28-07-24,8.49
29-07-24,8.49
30-07-24,8.49
31-07-24,8.49
01-08-24,8.49
02-08-24,8.49
03-08-24,8.49
04-08-24,8.49
05-08-24,8.49
06-08-24,8.49
07-08-24,8.49
08-08-24,8.49
09-08-24,8.49
10-08-24,8.49
11-08-24,8.49
12-08-24,8.49
13-08-24,8.49
15-08-24,8.49
16-08-24,8.49
17-08-24,8.49
18-08-24,8.49
19-08-24,8.49
20-08-24,8.49
21-08-24,8.49
22-08-24,8.49
23-08-24,8.49
24-08-24,8.49
25-08-24,8.49
26-08-24,8.49
28-08-24,8.49
29-08-24,8.49
30-08-24,8.49
01-09-24,8.49
02-09-24,8.49
03-09-24,8.49
04-09-24,8.49
