date,price
15-07-24,8.49
16-07-24,8.49
17-07-24,8.49
18-07-24,8.49
19-07-24,8.92
20-07-24,8.92
21-07-24,10.19
22-07-24,9.59
23-07-24,9.19
24-07-24,8.39
25-07-24,8.39
26-07-24,8.39
27-07-24,8.39
28-07-24,8.39
29-07-24,8.39
30-07-24,8.39
31-07-24,8.39
01-08-24,8.39
02-08-24,8.39
03-08-24,8.39
04-08-24,8.39
05-08-24,8.39
06-08-24,10.49
07-08-24,10.49
08-08-24,10.49
09-08-24,10.49
10-08-24,10.49
11-08-24,10.49
12-08-24,9.44
13-08-24,9.44
15-08-24,9.44
16-08-24,9.44
17-08-24,9.44
18-08-24,9.44
19-08-24,9.44
20-08-24,9.44
21-08-24,9.44
22-08-24,9.44
23-08-24,9.44
24-08-24,9.44
25-08-24,9.44
26-08-24,9.44
28-08-24,9.44
29-08-24,9.44
30-08-24,9.44
01-09-24,9.44
02-09-24,10.49
