date,price
15-07-24,11.99
16-07-24,11.99
17-07-24,11.99
18-07-24,11.99
19-07-24,11.99
20-07-24,11.99
21-07-24,11.99
22-07-24,11.99
23-07-24,12.49
24-07-24,11.49
25-07-24,11.49
26-07-24,11.99
27-07-24,11.99
28-07-24,11.99
29-07-24,11.49
30-07-24,11.49
31-07-24,11.49
01-08-24,11.49
02-08-24,11.49
03-08-24,11.49
04-08-24,11.49
05-08-24,11.49
06-08-24,11.49
07-08-24,11.49
08-08-24,11.49
09-08-24,11.49
10-08-24,11.49
11-08-24,11.49
12-08-24,10.34
13-08-24,10.34
15-08-24,10.34
16-08-24,10.34
17-08-24,10.34
18-08-24,10.34
19-08-24,10.34
20-08-24,10.34
21-08-24,10.34
22-08-24,10.34
23-08-24,10.34
24-08-24,10.34
25-08-24,10.34
26-08-24,10.34
28-08-24,10.34
29-08-24,10.34
30-08-24,10.34
01-09-24,10.34
02-09-24,11.49
03-09-24,11.49
04-09-24,11.49
