date,price
15-07-24,8.99
16-07-24,8.99
17-07-24,8.99
18-07-24,8.99
19-07-24,8.99
20-07-24,8.99
21-07-24,8.99
22-07-24,9.49
23-07-24,9.49
24-07-24,7.99
25-07-24,7.99
26-07-24,7.99
27-07-24,7.99
28-07-24,7.99
29-07-24,7.99
30-07-24,7.99
31-07-24,7.99
01-08-24,7.99
02-08-24,7.99
03-08-24,7.99
04-08-24,7.99
05-08-24,7.99
06-08-24,7.99
07-08-24,7.99
08-08-24,7.99
09-08-24,7.99
10-08-24,7.99
11-08-24,7.99
12-08-24,6.79
13-08-24,6.79
15-08-24,6.79
16-08-24,6.79
17-08-24,6.79
18-08-24,6.79
19-08-24,7.19
20-08-24,7.19
21-08-24,7.19
22-08-24,7.19
23-08-24,7.19
24-08-24,7.19
25-08-24,7.19
26-08-24,7.19
28-08-24,7.19
29-08-24,7.19
30-08-24,7.19
01-09-24,7.19
02-09-24,7.99
